feature,importance_split,importance_gain
mean_age_by_gender,1,450.2099914550781
synth_settlements,1,437.77801513671875
mean_n_children_by_marital_status,1,435.0199890136719
synth_public_records,1,434.4800109863281
app_spendings_decile_6,1,430.7919921875
synth_noise_poisson_3,1,410.5329895019531
synth_avail_credit_pct,1,402.6130065917969
synth_charge_offs,1,370.0329895019531
app_income_decile_3,1,357.3900146484375
app_income_decile_2,1,349.63299560546875
synth_tax_liens,1,342.1889953613281
synth_int_inc_x_score,1,340.510009765625
synth_judgments,1,338.7439880371094
synth_noise_poisson_10,1,332.63299560546875
synth_collections_count,1,331.97601318359375
app_spendings_decile_3,1,323.2139892578125
synth_bureau_score_v3,1,314.06500244140625
synth_noise_poisson_6,1,313.3919982910156
synth_int_util_x_inquiries,1,304.5249938964844
app_spendings_z,1,275.31500244140625
app_number_of_children,0,0.0
app_nom_cars_z,0,0.0
app_nom_cars_pct,0,0.0
synth_utilization_pct,0,0.0
synth_inquiries_12m,0,0.0
synth_inquiries_6m,0,0.0
synth_inquiries_3m,0,0.0
synth_n_mortgage_lines,0,0.0
synth_n_card_lines,0,0.0
app_number_of_children_decile_1,0,0.0
app_number_of_children_quartile_2,0,0.0
app_number_of_children_decile_3,0,0.0
app_number_of_children_quartile_1,0,0.0
app_number_of_children_decile_2,0,0.0
app_income_decile_5,0,0.0
app_income_decile_7,0,0.0
app_income_decile_8,0,0.0
app_income_quartile_2,0,0.0
app_income_quartile_1,0,0.0
app_income_decile_10,0,0.0
app_income_decile_9,0,0.0
app_spendings_decile_2,0,0.0
app_spendings_decile_1,0,0.0
app_income_quartile_3,0,0.0
app_income_quartile_4,0,0.0
app_spendings_decile_5,0,0.0
app_spendings_decile_4,0,0.0
app_spendings_decile_8,0,0.0
app_spendings_decile_7,0,0.0
app_spendings_decile_10,0,0.0
app_spendings_quartile_1,0,0.0
app_spendings_quartile_3,0,0.0
app_spendings_quartile_4,0,0.0
app_nom_cars,0,0.0
log_app_income,0,0.0
mean_age_by_home_status,0,0.0
mean_spendings_by_home_status,0,0.0
mean_spendings_by_branch,0,0.0
log_age,0,0.0
age_squared,0,0.0
app_income_squared,0,0.0
mean_income_by_home_status,0,0.0
mean_spendings_by_city,0,0.0
mean_spendings_by_job_code,0,0.0
mean_income_by_gender,0,0.0
act_age_sqrt,0,0.0
act_age_decile_1,0,0.0
act_age_decile_2,0,0.0
act_age_decile_3,0,0.0
app_income_decile_4,0,0.0
act_age_quartile_3,0,0.0
act_age_quartile_4,0,0.0
app_income_decile_1,0,0.0
act_age_decile_9,0,0.0
act_age_decile_10,0,0.0
act_age_quartile_1,0,0.0
act_age_quartile_2,0,0.0
act_age_decile_8,0,0.0
act_age_decile_7,0,0.0
act_age_decile_6,0,0.0
act_age_decile_5,0,0.0
act_age_rank,0,0.0
act_age_pct,0,0.0
app_spendings_rank,0,0.0
app_nom_cars_log1p,0,0.0
std_income_by_job_code,0,0.0
synth_seg_app_nom_branch_top2,0,0.0
synth_seg_app_nom_branch_top1,0,0.0
synth_total_income_v1,0,0.0
synth_monthly_obligations,0,0.0
synth_payment_to_income,0,0.0
synth_debt_to_income_synth,0,0.0
synth_foreclosures,0,0.0
synth_bankruptcies,0,0.0
synth_repossessions,0,0.0
act_age_log1p,0,0.0
act_age_z,0,0.0
app_spendings_pct,0,0.0
app_spendings_log1p,0,0.0
app_spendings_sqrt,0,0.0
app_nom_cars_sqrt,0,0.0
app_income_pct,0,0.0
app_income_rank,0,0.0
app_income_z,0,0.0
std_income_by_city,0,0.0
median_income_by_city,0,0.0
median_age_by_branch,0,0.0
median_income_by_job_code,0,0.0
std_income_by_marital_status,0,0.0
count_by_city,0,0.0
count_by_home_status,0,0.0
count_by_gender,0,0.0
mean_n_children_by_home_status,0,0.0
mean_cars_by_job_code,0,0.0
mean_cars_by_branch,0,0.0
count_by_branch,0,0.0
median_income_by_branch,0,0.0
synth_seg_app_nom_gender_top2,0,0.0
synth_seg_app_nom_gender_top1,0,0.0
synth_seg_app_nom_home_status_top2,0,0.0
synth_seg_app_nom_home_status_top1,0,0.0
synth_seg_app_nom_marital_status_top3,0,0.0
app_nom_cars_rank,0,0.0
app_number_of_children_log1p,0,0.0
app_number_of_children_sqrt,0,0.0
app_number_of_children_rank,0,0.0
app_income_sqrt,0,0.0
app_number_of_children_z,0,0.0
app_number_of_children_pct,0,0.0
app_income_log1p,0,0.0
synth_seg_app_nom_job_code_top2,0,0.0
synth_seg_high_income_flag,0,0.0
synth_seg_app_nom_job_code_top1,0,0.0
synth_int_inc_x_spend,0,0.0
synth_seg_has_cars,0,0.0
synth_int_age_x_income,0,0.0
synth_int_age_x_nchildren,0,0.0
synth_seg_has_children,0,0.0
synth_seg_prime_age_30_50,0,0.0
synth_seg_senior_flag,0,0.0
synth_seg_high_spending_flag,0,0.0
synth_seg_app_nom_city_top1,0,0.0
synth_seg_app_nom_job_code_top3,0,0.0
app_nom_job_code,0,0.0
app_nom_branch,0,0.0
synth_noise_poisson_2,0,0.0
synth_noise_poisson_1,0,0.0
synth_noise_poisson_7,0,0.0
synth_noise_poisson_9,0,0.0
