pd_multiplier,apr_strategy,cost_of_funds_annual,acquisition_cost,lgd,k_star_approve_pct,cutoff_pd_star,max_total_profit_at_k_star,youden_approve_pct_full,cutoff_gap_profit_minus_youden,category
1.0,tiered_uncapped,0.03,500,0.65,100.0,0.19155113956429146,163768790.05080006,79.40568212639002,20.59431787360998,approve_all
1.0,tiered_uncapped,0.03,500,0.75,100.0,0.19155113956429146,161483434.43067622,79.40568212639002,20.59431787360998,approve_all
1.0,tiered_uncapped,0.03,500,0.85,100.0,0.19155113956429146,159198078.81055105,79.40568212639002,20.59431787360998,approve_all
1.0,tiered_uncapped,0.06,0,0.55,100.0,0.19155113956429146,213474826.9024744,79.40568212639002,20.59431787360998,approve_all
1.0,tiered_uncapped,0.06,0,0.65,100.0,0.19155113956429146,211189471.28234863,79.40568212639002,20.59431787360998,approve_all
1.0,tiered_uncapped,0.06,0,0.75,100.0,0.19155113956429146,208904115.6622253,79.40568212639002,20.59431787360998,approve_all
1.0,tiered_uncapped,0.06,0,0.85,100.0,0.19155113956429146,206618760.0420924,79.40568212639002,20.59431787360998,approve_all
1.0,tiered_uncapped,0.06,250,0.55,100.0,0.19155113956429146,154482826.9024762,79.40568212639002,20.59431787360998,approve_all
1.0,tiered_uncapped,0.06,250,0.65,100.0,0.19155113956429146,152197471.28235102,79.40568212639002,20.59431787360998,approve_all
1.0,tiered_uncapped,0.06,250,0.75,100.0,0.19155113956429146,149912115.66222358,79.40568212639002,20.59431787360998,approve_all
1.0,tiered_uncapped,0.06,250,0.85,100.0,0.19155113956429146,147626760.04209694,79.40568212639002,20.59431787360998,approve_all
1.0,tiered_uncapped,0.06,500,0.55,100.0,0.19155113956429146,95490826.90247698,79.40568212639002,20.59431787360998,approve_all
1.0,tiered_uncapped,0.06,500,0.65,100.0,0.19155113956429146,93205471.28235018,79.40568212639002,20.59431787360998,approve_all
1.0,tiered_uncapped,0.06,500,0.75,100.0,0.19155113956429146,90920115.66222465,79.40568212639002,20.59431787360998,approve_all
1.0,tiered_uncapped,0.06,500,0.85,100.0,0.19155113956429146,88634760.04209915,79.40568212639002,20.59431787360998,approve_all
1.0,tiered_cap_24,0.0,0,0.55,100.0,0.19155113956429146,344278651.8357955,79.40568212639002,20.59431787360998,approve_all
1.0,tiered_cap_24,0.0,0,0.65,100.0,0.19155113956429146,342016336.74748707,79.40568212639002,20.59431787360998,approve_all
1.0,tiered_cap_24,0.0,0,0.75,100.0,0.19155113956429146,339754021.65916866,79.40568212639002,20.59431787360998,approve_all
1.0,tiered_cap_24,0.0,0,0.85,100.0,0.19155113956429146,337491706.57086605,79.40568212639002,20.59431787360998,approve_all
1.0,tiered_cap_24,0.0,250,0.55,100.0,0.19155113956429146,285286651.8357933,79.40568212639002,20.59431787360998,approve_all
1.0,tiered_cap_24,0.0,250,0.65,100.0,0.19155113956429146,283024336.7474875,79.40568212639002,20.59431787360998,approve_all
1.0,tiered_cap_24,0.0,250,0.75,100.0,0.19155113956429146,280762021.65917087,79.40568212639002,20.59431787360998,approve_all
1.0,tiered_cap_24,0.0,250,0.85,100.0,0.19155113956429146,278499706.5708633,79.40568212639002,20.59431787360998,approve_all
1.0,tiered_cap_24,0.0,500,0.55,100.0,0.19155113956429146,226294651.8357892,79.40568212639002,20.59431787360998,approve_all
1.0,tiered_cap_24,0.0,500,0.65,100.0,0.19155113956429146,224032336.74748385,79.40568212639002,20.59431787360998,approve_all
1.0,tiered_cap_24,0.0,500,0.75,100.0,0.19155113956429146,221770021.65917385,79.40568212639002,20.59431787360998,approve_all
1.0,tiered_cap_24,0.0,500,0.85,100.0,0.19155113956429146,219507706.57086423,79.40568212639002,20.59431787360998,approve_all
